"","Name","X","Y","FileName2","TurtleAvailable","Species","Direction","CatchSuccess"
"125","Fish",35.9776201681913,22.5406787464487,"2016_0517_110802_038A_Moment1","NoTurtle","LMB","Upstream",NA
"126","BottomLeft",0,0,"2016_0517_110802_038A_Moment2","NoTurtle","RH","Downstream",NA
"127","BottomRight",73.1605757461563,0,"2016_0517_110802_038A_Moment2","NoTurtle","RH","Downstream",NA
"128","TopLeft",-10.1283993751994,24.8165581513907,"2016_0517_110802_038A_Moment2","NoTurtle","RH","Downstream",NA
"129","TopRight",96.871762869882,24.8165581513907,"2016_0517_110802_038A_Moment2","NoTurtle","RH","Downstream",NA
"130","Fish",38.139437025313,4.74332584783236,"2016_0517_110802_038A_Moment2","NoTurtle","RH","Downstream",NA
"131","BottomLeft",0,0,"2016_0517_110802_038A_Moment3","NoTurtle","RH","Downstream",NA
"132","BottomRight",77.8491576153076,0,"2016_0517_110802_038A_Moment3","NoTurtle","RH","Downstream",NA
"133","TopLeft",-13.2462629353903,32.8752444500744,"2016_0517_110802_038A_Moment3","NoTurtle","RH","Downstream",NA
"134","TopRight",94.4416131922144,32.8752444500744,"2016_0517_110802_038A_Moment3","NoTurtle","RH","Downstream",NA
"135","Fish",34.3265316418903,3.81241495167258,"2016_0517_110802_038A_Moment3","NoTurtle","RH","Downstream",NA
"136","BottomLeft",0,0,"2016_0517_110802_038A_Moment4","NoTurtle","RH","Downstream",NA
"137","BottomRight",77.9624813687291,0,"2016_0517_110802_038A_Moment4","NoTurtle","RH","Downstream",NA
"138","TopLeft",-11.0357982394905,33.0233371024472,"2016_0517_110802_038A_Moment4","NoTurtle","RH","Downstream",NA
"139","TopRight",94.3899317015228,33.0233371024472,"2016_0517_110802_038A_Moment4","NoTurtle","RH","Downstream",NA
"140","Fish",44.0992409730418,3.28920464994129,"2016_0517_110802_038A_Moment4","NoTurtle","RH","Downstream",NA
"141","BottomLeft",0,0,"2016_0517_110802_038A_Moment5","NoTurtle","RH","Upstream",NA
"142","BottomRight",63.066460586115,0,"2016_0517_110802_038A_Moment5","NoTurtle","RH","Upstream",NA
"143","TopLeft",-17.1954981394053,33.8633439388056,"2016_0517_110802_038A_Moment5","NoTurtle","RH","Upstream",NA
"144","TopRight",94.0918377824674,33.8633439388056,"2016_0517_110802_038A_Moment5","NoTurtle","RH","Upstream",NA
"145","Fish",44.1864256715889,3.73650736935739,"2016_0517_110802_038A_Moment5","NoTurtle","RH","Upstream",NA
"146","BottomLeft",0,0,"2016_0517_110802_038A_Moment6","NoTurtle","RH","Upstream",NA
"147","BottomRight",70.6442356729878,0,"2016_0517_110802_038A_Moment6","NoTurtle","RH","Upstream",NA
"148","TopLeft",-20.6358279046472,38.8389093288802,"2016_0517_110802_038A_Moment6","NoTurtle","RH","Upstream",NA
"149","TopRight",92.1495475959759,38.8389093288802,"2016_0517_110802_038A_Moment6","NoTurtle","RH","Upstream",NA
"150","Fish",43.1450966190642,4.16705152157256,"2016_0517_110802_038A_Moment6","NoTurtle","RH","Upstream",NA
"151","BottomLeft",0,0,"2016_0517_111802_039A_Moment1","NoTurtle","LMB","Downstream",NA
"152","BottomRight",70.7841757301562,0,"2016_0517_111802_039A_Moment1","NoTurtle","LMB","Downstream",NA
"153","TopLeft",-18.3041424317332,33.6301917798611,"2016_0517_111802_039A_Moment1","NoTurtle","LMB","Downstream",NA
"154","TopRight",94.1754224882998,33.6301917798611,"2016_0517_111802_039A_Moment1","NoTurtle","LMB","Downstream",NA
"155","Fish",21.2761202069171,37.8992121128286,"2016_0517_111802_039A_Moment1","NoTurtle","LMB","Downstream",NA
"156","BottomLeft",0,0,"2016_0517_111802_039A_Moment2","NoTurtle","LMB","Downstream",NA
